District,Pop_2010,Pop_2011,DPT3_perc,DPT3_vacc,Measles_Perc,No_Measles,HF_Delivery_Perc,Not_Del_HF,Pit_LatCov_Perc,No_Pit_Lat,Safe_Water_Cov_Perc,No_Safe_Water,School_Start_at6_Perc,Not_start_at_6,CompletePS_Perc,Not_CompletingPS
Abim,"129,035","129,035",0.90,383,0.77,878,0.24,"4,887",0.25,"13,548",0.37,"81,563",0.52,"1,840",0.34,"2,033"
Adjumani,"331,600"," 353,200 ",0.36,"9,136",0.30,"10,012",0.19,"14,305",0.67,"22,190",0.44,"197,792",0.15,"10,574",0.23,"7,407"
Agago,"271,700"," 285,300 ",0.83,"2,358",0.79,"2,913",0.32,"9,700",0.29,"40,335",0.75,"71,325",0.63,"3,715",0.43,"3,677"
Alebtong,211500," 218,800 ",0.68,"3,502",0.60,"4,339",0.28,"7,877",0.72,"12,933",0.88,"26,256",0.41,"4,832",0.65,"1,820"
Amolatar,"120,400"," 123,910 ",1.35,"-2,284",1.00,-20,0.25,"4,647",0.63,"9,507",0.62,"47,086",0.47,"2,412",0.95,133
Amudat,"87,093","87,093",0.78,602,0.73,736,0.09,"3,979",0.03,"13,932",0.38,"53,730",0.31,"1,882",0.10,"2,034"
Amuria,"344,200"," 374,000 ",0.57,"8,730",0.59,"8,378",0.21,"14,773",0.21,"63,332",0.58,"157,080",0.63,"5,313",0.41,"4,927"
Amuru,"169,300"," 174,000 ",0.85,"1,289",0.86,"1,191",0.26,"6,438",0.35,"24,418",0.77,"40,020",0.53,"3,069",0.66,"1,377"
Apac,"326,300"," 337,400 ",0.57,"7,421",0.48,"9,020",0.27,"12,315",0.69,"21,779",0.62,"128,212",0.48,"6,542",0.64,"2,833"
Arua,"713,700"," 751,700 ",0.84,"5,363",0.76,"7,889",0.33,"25,182",0.56,"61,352",0.78,"165,374",0.83,"4,432",0.58,"7,413"
Budaka,"169,300"," 173,900 ",0.84,"1,564",0.71,"2,770",0.40,"5,217",0.60,"13,563",0.65,"60,865",1.09,-602,0.81,739
Bududa,"167,000"," 173,700 ",1.55,"-5,199",2.11,"-10,528",0.24,"6,601",0.58,"16,438",0.66,"59,058",1.05,-334,0.61,"1,517"
Bugiri,387800," 406,800 ",1.01,-183,0.97,595,0.16,"17,086",0.79,"17,041",0.36,"260,352",1.02,-316,0.51,"4,606"
Buhweju,"97,400"," 99,560 ",0.71,"1,390",0.68,"1,535",0.30,"3,485",0.89,"2,007",0.75,"24,890",0.74,959,0.69,822
Buikwe,407100," 418,200 ",0.69,"5,767",0.67,"6,071",0.38,"12,964",0.85,"14,211",0.67,"138,006",0.66,"5,137",0.83,"1,771"
Bukedea,"171,100"," 178,500 ",0.66,"3,310",0.71,"2,787",0.23,"6,872",0.65,"13,100",0.72,"49,980",0.86,962,0.70,"1,197"
Bukomansimbi,150900," 152,400 ",0.78,"1,434",0.80,"1,295",0.27,"5,563",0.95,"1,617",0.81,"28,956",0.87,735,0.73,"1,296"
Bukwo,"67,500"," 70,500 ",0.93,287,0.93,281,0.17,"2,926",0.60,"5,579",0.62,"26,790",1.42,"-1,134",1.15,-237
Bulambuli,"118,900"," 122,300 ",0.59,"2,817",0.56,"3,010",0.21,"4,831",0.64,"10,837",0.72,"34,244",0.91,414,0.83,442
Buliisa,"76,900"," 78,900 ",0.64,"1,390",0.57,"1,652",0.14,"3,393",0.49,"7,921",0.79,"16,569",0.77,656,0.53,837
