PROJECT_ID,PARTNER,PROJ_NAME,PROJ_DESC,START_PLANNED,START_ACTUAL,START_ACTUAL,END_ACTUAL,DISTRICTS,IMPLEMENTER,STATUS,SECTOR
1,UNICEF,Roll-Out of National Hand Washing Campaign,Roll-Out of National Hand Washing Campaign,,,,,163|111|122|185|155|178|139|189|127|85|79|106|145|170|88|109|162|130|143|116|126|98|115|99|156|152|161|186|173|121,Africare,520,Basic Education
2,UNICEF,Enhancing childrens access to effective services and systems for improved protection aimed at keeping children,Enhancing childrens access to effective services and systems for improved protection aimed at keeping children,,,,,139|159,Arbeiter Samariter Bund,520,Basic Education
3,UNICEF,"Support to keep children and mothers ALIVE through provision of a comprehensive Health, Nutrition and HIV/AIDS packages for Northern Uganda","Support to keep children and mothers ALIVE through provision of a comprehensive Health, Nutrition and HIV/AIDS packages for Northern Uganda",,,,,"81|135|144|177
",Italian Development Coorperation,520,Basic Education
4,UNICEF,"Peace Building and Socio-economic Development using Information & Communication Technology (ICT) in Acholi sub-region, Northern Uganda,","Peace Building and Socio-economic Development using Information & Communication Technology (ICT) in Acholi sub-region, Northern Uganda,",,,,,108|135|144|174|176|177,Battery Operated Systems for Community Outreach,520,Basic Education
5,UNICEF,Building Young Futures,Building Young Futures,,,,,152|162|116|121|156|,Bangladesh Rural Advancement Committee,520,Basic Education
6,UNICEF,Fostering childrens access to effective services and systems for improved health and protection aimed at keeping children alive and safe ,Fostering childrens access to effective services and systems for improved health and protection aimed at keeping children alive and safe ,,,,,169|164,C&D,520,Basic Education
7,UNICEF, Reintegration of Girls formerly associated with Armed conflict in Northern Uganda, Reintegration of Girls formerly associated with Armed conflict in Northern Uganda,,,,,177|81,Christian Couseling Fellowship,520,Basic life skills for youths and Adults
8,UNICEF,"Establishing and Strengthening Community Based ECD Centres in Kaabong, Kotido and Napak Districts, Karamoja Region ","Establishing and Strengthening Community Based ECD Centres in Kaabong, Kotido and Napak Districts, Karamoja Region ",,,,,114|138|169|,Community Support for Capacity Development,520,Basic life skills for youths and Adults
9,UNICEF,"Responding to Chronic Emergency in Karamoja Phase IV Abim, Amudat, Kaabong, Nakapiripirit Kotido, Moroto and Napak
Integrated package of maternal and newborn health (MNH) interventions in the five districts of KaramojaResponding to Chronic Emergency in Karamoja Phase IV Abim, Amudat, Kaabong, Nakapiripirit Kotido, Moroto and Napak","Responding to Chronic Emergency in Karamoja Phase IV Abim, Amudat, Kaabong, Nakapiripirit Kotido, Moroto and Napak
Integrated package of maternal and newborn health (MNH) interventions in the five districts of KaramojaResponding to Chronic Emergency in Karamoja Phase IV Abim, Amudat, Kaabong, Nakapiripirit Kotido, Moroto and Napak",,,,,79|84|114|164|138|159|169|,Doctors with Africa CUAMM,520,Basic life skills for youths and Adults
10,UNICEF,"Strengthening peace building, education policy and practice at national and regional level","Strengthening peace building, education policy and practice at national and regional level",,,,,86|97|174|87|88|188|170|143|142|162|79|159|138|114|164|84|169|,Forum of Education NGOs in Uganda (FENU) ,520,Basic life skills for youths and Adults
11,UNICEF,"Bridging the gender gaps in education through re-enrolment, increasing retention, completion and transition rates for girls in primary and post primary","Bridging the gender gaps in education through re-enrolment, increasing retention, completion and transition rates for girls in primary and post primary",,,,,|,Girls Education Movement Uganda,520,Basic life skills for youths and Adults
12,UNICEF,STRENGTHENING PARLIAMENATRY OVERSIGHT,STRENGTHENING PARLIAMENATRY OVERSIGHT,,,,,108|135|144|86|177|159|138|79|164|84|114|162|116|98|143|142,The Uganda Assciation of Women Lawyers,520,Basic life skills for youths and Adults
13,UNICEF,UNICEF EMERGENCY WASH,UNICEF EMERGENCY WASH,,,,,123|134,GOAL,520,"Social, Small and medium-sized enterprises"
14,UNICEF,Strengthening Reintegration of Young Mothers with children Formerly Associated with the LRA,Strengthening Reintegration of Young Mothers with children Formerly Associated with the LRA,,,,,108|,Gulu United to Save the Children Organization,520,"Social, Small and medium-sized enterprises"
15,UNICEF,THE ROLL OUT OF VILLAGE HEALTH TEAM (VHT) AND INTEGRATED COMMUNITY CASE MANAGEMENT (ICCM) STRATEGY IN NTUNGAMO DISTRICT,THE ROLL OUT OF VILLAGE HEALTH TEAM (VHT) AND INTEGRATED COMMUNITY CASE MANAGEMENT (ICCM) STRATEGY IN NTUNGAMO DISTRICT,,,,,173|,Healthy Child,520,"Social, Small and medium-sized enterprises"
