PROJECT_ID,PARTNER,PROJ_NAME,PROJ_DESC,START_PLANNED,START_ACTUAL,END_PLANNED,END_ACTUAL,DISTRICTS,IMPLEMENTER
1,USAID,Livelihoods and Enterprise for Agricultural Development (LEAD),"Livelihoods and Enterprises for Agricultural Development (LEAD) is a USAID-funded project with an estimated budget of $36 million over five years.  LEADÍs primary objective is to increase productivity, trade capacity, and competitiveness in selected agricultural value chains.  The program aims to improve farming practices, increase market access, and ensure empowered relationships between producers, input suppliers, agro-processors, and product buyers.  Overall, LEADÍs approach is characterized by 1) a market-driven strategy; 2) strategic partnerships/ alliances; 3) a participatory technology transfer methodology; and 4) outreach via commercially-oriented producer organizations.  Following the approval of the USAID Uganda Feed the Future strategy in March 2011, LEAD activities were redirected in order to be consistent with the strategy.  Major aspects of the redirection include a reduction in the number of value chains.  The major focus is now on maize, beans and coffee.  The number of focus districts was also reduced.",7/25/08,7/25/08,7/31/13,,91|99|100|110|111|119|122|123|125|143|147|155|183,Associates in Rural Development (ARD)
2,USAID,"Sustainable, Comprehensive Responses for Vulnerable Children and their Families (SCORE)","The Sustainable, Comprehensive Responses for Vulnerable Children and their Families (SCORE) project is a $29.4 million, five-year cooperative agreement implemented by the Association of Volunteers in International Service Foundation. The project is to improve the lives of vulnerable children and their families living in conditions of critical and moderate vulnerability. The program focuses on improving household economic and food security, enhancing protection and legal services for vulnerable children, and empowering and strengthening families with the ability to access, acquire or provide critical services for women and children such as health, education and psychosocial support. Strategic and continuous collaboration between this program and other USG and non USG activities is expected.",4/12/11,4/12/11,4/11/16,,89|90|91|99|100|101|111|112|122|147|154|173|181|183,Association of Volunteers in International Service (AVSI) Foundation
3,USAID,Tourism for Biodiversity,"This is a $10 million Cooperative Agreement that will provide local Ugandan communities expand opportunities to develop tourism businesses and services that will enhance communities' appreciation of Uganda's natural resources and reduce threats to biodiversity, thereby protecting critical ecosystems across Uganda's diverse landscapes while promoting broader sustainable economic development.",8/30/12,8/30/12,8/29/16,,99,African Wildlife Foundation (AWF)
4,USAID,Development Grants Program -Nebbi for water,"The Alliance for Youth Development (AYA) is implementing the program in three regions-Central, West, and North. Each area has a project manager. AYA will implement the program through implementing agencies. The local companies will be contracted to install wells, protected springs, and rainwater harvesting projects. The program also expects to improve hygiene practices, reduce incidents of diarrhea and water-borne diseases.",12/15/09,12/15/09,12/14/12,12/14/12,143,Alliance for Youth Developemnt (AYA)
5,USAID,Uganda Malaria Surveillance Project (UMSP),"The President's Malaria Initiative (PMI) has supported malaria sentinel surveillance in districts with different malaria endemicity since 2006. Currently, there are 6 outpatient and 6 inpatient sites providing high quality, timely data used by the Ministry of Health and PMI to assess program quality, national trends and identify areas where there is need for improvement. In addition, the Uganda Malaria Surveillance Program (UMSP) provides training in malaria diagnostics to public and private health facilities to improve the quality of case management of malaria and provides follow up supervision. In 2010, UMSP conducted two small scale surveys to assess long lasting insecticide net coverage and anemia and parasitemia in districts receiving indoor residual spray compared to those that have not. They also are conducting an evaluation of the efficacy of SP for IPTp.",10/1/10,10/1/10,9/30/14,,115|124,Centers for Disease Control
6,USAID,Health Initiatives in the Private Sector (HIPS),"Health Initiatives in the Private Sector (HIPS) is a five and a half year, $17.2 million USAID-funded project.  HIPS is designed to propel UgandaÍs efforts to mitigate infectious disease, expand health service provision, and improve the quality of UgandaÍs health service system in the private sector.  Specific support is provided to private sector companies to cover employees, their dependents, and surrounding communities.  HIPS provides technical expertise, partnership brokering, and small grants funding to leverage expanded and improved service delivery by private sector organizations.  The project objectives are: 1) expand access to and utilization of health services in the private sector; 2) establish global development alliance partnerships to leverage company-sponsored health services; 3) strengthen private sector employer organizations to support health initiatives; and 4) implement innovative approaches to support orphans and other vulnerable children through the private sector.",10/1/07,10/1/07,3/30/13,,91|99|126|143,Cardno Emerging Markets
7,USAID,Strengthening Decentralization for Sustainability (SDS),"Strengthening Decentralization for Sustainability (SDS) is a five-year,$40 million project implemented by CardnoEM.  The purpose of the SDS project is to improve the results and sustainability of decentralized service delivery, with initial emphasis on health and HIV/AIDS services, at Local Government levels in Uganda through:  (1) improving coordination among all USAID supported partners at the district level, (2) strengthening the capacity of districts and sub-counties to plan, budget, implement/coordinate, monitor and evaluate decentralized services by efficiently utilizing the Government of UgandaÍs administrative and fiscal decentralization framework, (3) provision of grants to districts to complement resources needed for effective and efficient management of programs and services, and (4)  facilitating strategic innovations to improve district leadership and sustainable financing of health, HIV/AIDS and other social sector services.",4/19/10,4/19/10,4/17/15,,89|90|91|95|99|101|110|111|112|115|118|119|122|123|124|125|126|128|132|134|139|143|147|154|155|158|161|166|168|173|178|181|183|184,Cardno Emerging Markets
8,USAID,Technical Management Agency for the Civil Society Fund (TMA-CSF),"The Technical Management Agency for the Civil Society Fund (CSF) was established in 2010 to provide grants to civil society supported through a partnership with DFID, DANIDA, Irish AID, Sida, USAID, and Uganda civil society organizations and various line ministries within the Ugandan Government.  The program is housed within the Ugandan AIDS Commission and managed by a steering committee that includes representatives from the stakeholders.  Under the direction of the National HIV/AIDS Partnership Framework, the steering committee sets strategic priorities and manages donor resources supporting civil societyÍs response to HIV/AIDS, orphans and other vulnerable children (OVC).  USAID covers the administrative costs of the program, manages the financial, technical and monitoring and evaluation agents supporting the fund and its grantees on behalf of the contributing partners, and provides financial resources for grants supporting HIV prevention and OVC.",2/3/10,2/3/10,2/2/13,2/2/13,91|99|100|110|118|119|128|139|154|155|158|161|178|183|184,Chemonics
9,USAID,Strengthening Tuberculosis (TB) and HIV/AIDS Responses in South West Uganda (STAR-SW),"This five-year $38 million award covers 13 districts in the South-western region of Uganda with a goal of increasing access to, coverage, and utilization of quality comprehensive tuberculosis (TB) and HIV/AIDS prevention, care, and treatment services. The project aims to strengthen decentralized HIV/TB service delivery system, with emphasis on health center IVs, IIIs and community outreaches; improve quality and efficiency of HIV/TB services within health facilities and community service organizations/groups; strengthen networks and referrals systems to improve access to, coverage of and utilization of HIV/TB services while intensifying demand generation activities for HIV/TB prevention, care and treatment service.",5/21/10,5/21/10,5/20/15,,99|110|112|115|132|134|173|181,Elizabeth Glaser Pediatric AIDS Foundation
10,USAID,Fistula Care Associate Award,"Fistula Care (FC) is a five-year, $70 million associate cooperative agreement awarded in 2007 to EngenderHealth and its partners.  FC works in partnership with public sector, private sector, non-governmental and faith-based organizations, both national and international, to provide a full range of fistula care services including prevention, repair, community reintegration and research activities.  The immediate results will be to alleviate the pain and suffering of fistula sufferers in selected catchment areas, prevent fistula, and improve awareness at community level that fistula is treatable as well as preventable. In the long run, improved obstetric practice should reduce the overall incidence of fistula.",9/25/07,9/25/07,9/24/12,9/24/12,126,EngenderHealth
