id,name,point_id,type_id,tree_parent_id,lft,rght,tree_id,level,parent_id,parent_type_id,is_active,code,status
21770,Kobolwa,,parish,20522,389,390,1,4,20522,73,t,"",t
21792,Kobolwa,,parish,20529,393,394,1,4,20529,73,t,"",t
1768,Budaka Town Council,,sub_county,1767,18068,18085,1,3,,,t,BUDAKA TOWN COUNCIL_SUB_COUNTY,t
1788,Kadenge,,parish,1782,18097,18098,1,4,,,t,KADENGE_PARISH,t
24222,Kachomo,,parish,20811,18171,18172,1,4,20811,73,t,"",t
20811,Kachomo,,sub_county,1767,18166,18173,1,3,1767,73,t,"",t
24416,Kakule,,parish,20809,18179,18180,1,4,20809,73,t,"",t
24415,Lerya,,parish,20809,18181,18182,1,4,20809,73,t,"",t
13278,Bukomba,,village,13275,18224,18225,1,3,13275,73,t,"",t
13291,Namwamba,,village,13289,18282,18283,1,3,13289,73,t,"",t
17754,Namuseru I,,village,13289,18284,18285,1,3,13289,73,t,"",t
17755,Namwamba,,village,13289,18286,18287,1,3,13289,73,t,"",t
13289,Naboa,,sub_county,1118,18275,18288,1,2,1118,73,t,"",t
23989,Idudi B,,parish,13292,18290,18291,1,3,13292,73,t,"",t
13292,Nansanga,,sub_county,1118,18289,18294,1,2,1118,73,t,"",t
21478,Iki-Iki,,sub_county,20471,18296,18303,1,3,20471,73,t,"",t
20819,Mugiti,,sub_county,20471,18304,18309,1,3,20471,73,t,"",t
24265,Katiira,,parish,20818,18311,18312,1,4,20818,73,t,"",t
20818,Katiira,,sub_county,20471,18310,18315,1,3,20471,73,t,"",t
24429,Kadimukoli,,parish,20817,18319,18320,1,4,20817,73,t,"",t
20817,Kamonkoli,,sub_county,20471,18316,18325,1,3,20471,73,t,"",t
24418,Lerya,,parish,20816,18327,18328,1,4,20816,73,t,"",t
24417,Bupuchai,,parish,20816,18329,18330,1,4,20816,73,t,"",t
20816,Kameruka,,sub_county,20471,18326,18331,1,3,20471,73,t,"",t
24474,Iki-Iki,,parish,20815,18337,18338,1,4,20815,73,t,"",t
20471,Iki Iki,,county,1118,18295,18340,1,2,1118,73,t,"",t
24349,Kakoli,,parish,13294,18342,18343,1,3,13294,73,t,"",t
24348,Kadenge,,parish,13294,18344,18345,1,3,13294,73,t,"",t
