ID,abbreviation,question,categories
1,Handwashing,Today is national handwashing day! Do you have access to a handwashing facility (with soap and water) at your workplace or school? Please reply with YES or NO,"yes,no,unknown"
2,Safe Water,First Question: Is there a safe water source within a 10 minute walk from your home? Send a reply SMS with YES or NO (it's free!),"yes,no,unknown"
5,Save Lives,If you could tell your leaders to do ONE THING to save the lives of women and children in Uganda – what would it be?,""
6,Future Children,When you think about the future of Uganda: what would you like your children to have that you didn't have?,""
9,Mosquito Net,This week's uReport poll: Do children in your family sleep under a mosquito net at home? Please send YES or NO. Responses are free! From UNICEF & UgandaScouts,"yes,unknown,no"
21,Water Point Availability,uReport is doing a water availability survey:Go to the borehole or community tapstand nearest your home.Is it giving water?Text YES or NO by end of Wednesday.,"yes,no,unknown"
11,Reporting District,Tell us the district you are reporting from.Please only type the name of the district.Responses to uReport are free!From UNICEF and Uganda Scouts Association,""
12,School Walking Distance,Today's uReport poll: Is there a primary/secondary school within a 15 minute walk of your home? Text YES or NO. The message is free from UNICEF & UgandaScouts,"unknown,no,yes"
17,District poll 2 - 25 Nov 2010,hey uReporters!Tell us the district you are reporting from.Please only type the name of the district.Responses to uReport are free!From UNICEF and Uganda Scouts,""
132,Justice: Children safe from harm,"""67%% said “NO” to the last poll.  What can the police, child probation officers and magistrates do to keep children safe from harm? UNICEF and partners""",""
130,Education (strike freeform),"Hi Ureporter.  61%% of Ureporters said YES, the teachers' strike is justified. 29%% said NO it is not. What is your reason for YES or NO in the last poll?",""
18,World AIDS Day,Yesterday was World AIDS Day.How can you help reduce HIV infections in Uganda? Text your ideas free to uReport.The best ideas will be shared!UNICEF&UgandaScouts,""
29,Elections,Hello uReporters! Elections are on the 18th Feb. Everyone has the right to vote! Are you a registered voter? Please respond with a YES/NO ,"yes,no,unknown"
22,VAW Opinion,Hello uReporters! Do you think violence against women is a problem in your community? Please respond with YES or NO by tomorrow. Poll results to follow.,"yes,no,unknown"
23,New Year's Resolution,Hello uReporters! It's 2011. Do you have a New Year's resolution? Do you have any resolutions to help your community this year? Share your ideas with us!,""
30,Reporting District,Our aim this year for uReport is 2 cover all Districts and Villages in Uganda. Please text ONLY THE NAME of the District you are reporting from. Thanks! ,""
31,Elections,Hello uReporters! What is the importance of voting to you as a citizen? Text us your response for free. The best responses will be shared! UNICEF & UgandaScouts,""
131,Justice 4 Children,Hello Ureporter! Do you think children and young people get fair treatment from the community where they live? Reply with YES or NO. UNICEF & Partners,"yes,no,unknown"
39,Preparation for the Drought ,"Hello Ureporters! Our 1st Q is from Emma in Lira, she wants 2 know ""How can our communities prepare 4 the long drought"". SMS ur reply 4 free! UNICEF & UGScouts",""
41,Balanced diet,"Hello Ureporters! Our 2nd Q is from Paul in Kampala, he wants 2 kno ""What is a balanced diet? What should pple do 2 avoid malnutrition?""FreeSMS! UNICEF&UGScouts",""
135,CHD Rainy Season ,Hi Ureporter. What effect has the heavy rain had on the health of children and youth?,""
49,Breastfeeding,Hello Ureporter! What r u doing in ur community to encourage & support best breastfeeding practices? Best examples will b shared. SMS FREE! UNICEF&UGScouts,""
133,J4C Announcement Responses,"Change-maker,thank you for your response.The Chief Justice just launched an program to protect the rights of children.Your voice matters!Best answer 2 follow. ",""
320,Marburg prevention # Mb'ra,To prevent Marburg AVOID CONTACT with wild animals including bats & monkeys. Do not eat monkey meat.,""
