"PROJECT_ID","PARTNER","PROJ_NAME","PROJ_DESC","START_PLAN","START_ACTU","END_PLANNE","END_ACTUAL","DISTRICTS","IMPLEMENTE","STATUS","SECTOR","LAT","LONG"
"1","UNICEF","Roll-Out of National Hand Washing Campaign","Roll-Out of National Hand Washing Campaign","28/01/2013","28/01/2013","28/07/2013","28/07/2013","Dokolo","Africare","Post-completion","Basic Education","1.9167","33.1667"
"1","UNICEF","Roll-Out of National Hand Washing Campaign","Roll-Out of National Hand Washing Campaign","21/01/2009","21/01/2009","21/07/2009","21/07/2009","Iganga","Africare","Post-completion","Basic Education","0.615","33.485"
"1","UNICEF","Roll-Out of National Hand Washing Campaign","Roll-Out of National Hand Washing Campaign","23/01/2010","23/01/2010","23/07/2010","23/07/2010","Kamuli","Africare","Post-completion","Basic Education","0.945","33.125"
"1","UNICEF","Roll-Out of National Hand Washing Campaign","Roll-Out of National Hand Washing Campaign","25/01/2011","25/01/2011","25/07/2011","25/07/2011","Tororo","Africare","Post-completion","Basic Education","0.6928","34.1811"
"1","UNICEF","Roll-Out of National Hand Washing Campaign","Roll-Out of National Hand Washing Campaign","27/01/2012","27/01/2012","27/07/2012","27/07/2012","Mbale","Africare","Post-completion","Basic Education","1.0806","34.175"
"1","UNICEF","Roll-Out of National Hand Washing Campaign","Roll-Out of National Hand Washing Campaign","28/01/2013","28/01/2013","28/07/2013","28/07/2013","Pallisa","Africare","Post-completion","Basic Education","1.1675","33.71"
"1","UNICEF","Roll-Out of National Hand Washing Campaign","Roll-Out of National Hand Washing Campaign","20/01/2008","20/01/2008","20/07/2008","20/07/2008","Kumi","Africare","Post-completion","Basic Education","1.4856","33.9332"
"1","UNICEF","Roll-Out of National Hand Washing Campaign","Roll-Out of National Hand Washing Campaign","25/01/2011","25/01/2011","25/07/2011","25/07/2011","Wakiso","Africare","Post-completion","Basic Education","0.3981","32.4781"
"1","UNICEF","Roll-Out of National Hand Washing Campaign","Roll-Out of National Hand Washing Campaign","21/01/2009","21/01/2009","21/07/2009","21/07/2009","Soroti","Africare","Post-completion","Basic Education","1.715","33.6111"
"1","UNICEF","Roll-Out of National Hand Washing Campaign","Roll-Out of National Hand Washing Campaign","23/01/2010","23/01/2010","23/07/2010","23/07/2010","Katakwi","Africare","Post-completion","Basic Education","1.915","33.955"
"1","UNICEF","Roll-Out of National Hand Washing Campaign","Roll-Out of National Hand Washing Campaign","25/01/2011","25/01/2011","25/07/2011","25/07/2011","Amuria","Africare","Post-completion","Basic Education","2.0302","33.6428"
"1","UNICEF","Roll-Out of National Hand Washing Campaign","Roll-Out of National Hand Washing Campaign","27/01/2012","27/01/2012","27/07/2012","27/07/2012","Abim","Africare","Post-completion","Basic Education","2.7333","33.6667"
"1","UNICEF","Roll-Out of National Hand Washing Campaign","Roll-Out of National Hand Washing Campaign","27/01/2012","27/01/2012","27/07/2012","27/07/2012","Ntungamo","Africare","Post-completion","Basic Education","-0.8819","30.2653"
"1","UNICEF","Roll-Out of National Hand Washing Campaign","Roll-Out of National Hand Washing Campaign","20/01/2008","20/01/2008","20/07/2008","20/07/2008","Lira","Africare","Post-completion","Basic Education","2.2489","32.9"
"1","UNICEF","Roll-Out of National Hand Washing Campaign","Roll-Out of National Hand Washing Campaign","20/01/2008","20/01/2008","20/07/2008","20/07/2008","Mukono","Africare","Post-completion","Basic Education","0.3533","32.7553"
"1","UNICEF","Roll-Out of National Hand Washing Campaign","Roll-Out of National Hand Washing Campaign","23/01/2010","23/01/2010","23/07/2010","23/07/2010","Mpigi","Africare","Post-completion","Basic Education","0.2333","32.3333"
"1","UNICEF","Roll-Out of National Hand Washing Campaign","Roll-Out of National Hand Washing Campaign","23/01/2010","23/01/2010","23/07/2010","23/07/2010","Kasese","Africare","Post-completion","Basic Education","0.1833","30.0833"
"1","UNICEF","Roll-Out of National Hand Washing Campaign","Roll-Out of National Hand Washing Campaign","23/01/2010","23/01/2010","23/07/2010","23/07/2010","Arua","Africare","Post-completion","Basic Education","3.03","30.91"
"1","UNICEF","Roll-Out of National Hand Washing Campaign","Roll-Out of National Hand Washing Campaign","21/01/2009","21/01/2009","21/07/2009","21/07/2009","Masaka","Africare","Post-completion","Basic Education","-0.3352","31.7341"
"1","UNICEF","Roll-Out of National Hand Washing Campaign","Roll-Out of National Hand Washing Campaign","21/01/2009","21/01/2009","21/07/2009","21/07/2009","Nebbi","Africare","Post-completion","Basic Education","2.4792","31.09"
"1","UNICEF","Roll-Out of National Hand Washing Campaign","Roll-Out of National Hand Washing Campaign","25/01/2011","25/01/2011","25/07/2011","25/07/2011","Hoima","Africare","Post-completion","Basic Education","1.4319","31.3525"
"1","UNICEF","Roll-Out of National Hand Washing Campaign","Roll-Out of National Hand Washing Campaign","27/01/2012","27/01/2012","27/07/2012","27/07/2012","Mubende","Africare","Post-completion","Basic Education","0.5575","31.395"
"1","UNICEF","Roll-Out of National Hand Washing Campaign","Roll-Out of National Hand Washing Campaign","28/01/2013","28/01/2013","28/07/2013","28/07/2013","Kiboga","Africare","Post-completion","Basic Education","0.9101","31.7705"
"1","UNICEF","Roll-Out of National Hand Washing Campaign","Roll-Out of National Hand Washing Campaign","20/01/2008","20/01/2008","20/07/2008","20/07/2008","Mbarara","Africare","Post-completion","Basic Education","-0.6057","30.6486"
"1","UNICEF","Roll-Out of National Hand Washing Campaign","Roll-Out of National Hand Washing Campaign","28/01/2013","28/01/2013","28/07/2013","28/07/2013","Bushenyi","Africare","Post-completion","Basic Education","-0.5386","30.185"
"1","UNICEF","Roll-Out of National Hand Washing Campaign","Roll-Out of National Hand Washing Campaign","28/01/2013","28/01/2013","28/07/2013","28/07/2013","Kampala","Africare","Post-completion","Basic Education","0.3136","32.5811"
