district,poll_id,category,count,category_id
Palaro,165,climate,33,230
Palaro,165,Poor farming methods,9,232
Palaro,165,Lack of land,8,233
Palaro,165,Lack of capital,18,234
Palaro,165,Pests and Diseases,4,235
Palaro,200,yes,31,277
Palaro,200,no,23,278
Palaro,200,unknown,33,279
Palaro,551,Agricultural Diversification,14,1149
Palaro,551,Engagement in Productive Activities,16,1150
Palaro,551,Self Employment/ Entreprenuership,23,1151
Palaro,551,Accessibility to Soft loans,13,1152
Palaro,551,Acquisition of Practical Skills,21,1153
Palaro,551,Accountability & Transparency,20,1154
Palaro,551,Other,26,1155
Patiko,165,climate,30,230
Patiko,165,Poor farming methods,9,232
Patiko,165,Lack of land,1,233
Patiko,165,Lack of capital,16,234
Patiko,165,Pests and Diseases,6,235
Patiko,200,yes,21,277
Patiko,200,no,18,278
Patiko,200,unknown,9,279
Patiko,551,Agricultural Diversification,12,1149
Patiko,551,Engagement in Productive Activities,15,1150
Patiko,551,Self Employment/ Entreprenuership,24,1151
Patiko,551,Accessibility to Soft loans,8,1152
Patiko,551,Acquisition of Practical Skills,15,1153
Patiko,551,Accountability & Transparency,13,1154
Patiko,551,Other,30,1155
Awach,165,climate,39,230
Awach,165,Poor farming methods,4,232
Awach,165,Lack of land,3,233
Awach,165,Lack of capital,13,234
Awach,165,Pests and Diseases,2,235
Awach,200,yes,62,277
Awach,200,no,41,278
Awach,200,unknown,38,279
Awach,551,Agricultural Diversification,9,1149
Awach,551,Engagement in Productive Activities,24,1150
Awach,551,Self Employment/ Entreprenuership,24,1151
Awach,551,Accessibility to Soft loans,8,1152
Awach,551,Acquisition of Practical Skills,25,1153
Awach,551,Accountability & Transparency,14,1154
Awach,551,Other,24,1155
Unyama,165,climate,38,230
Unyama,165,Poor farming methods,5,232
Unyama,165,Lack of land,9,233
Unyama,165,Lack of capital,20,234
Unyama,165,Pests and Diseases,8,235
Unyama,200,yes,37,277
Unyama,200,no,44,278
Unyama,200,unknown,20,279
Unyama,551,Agricultural Diversification,6,1149
Unyama,551,Engagement in Productive Activities,11,1150
Unyama,551,Self Employment/ Entreprenuership,6,1151
Unyama,551,Accessibility to Soft loans,9,1152
Unyama,551,Acquisition of Practical Skills,15,1153
Unyama,551,Accountability & Transparency,14,1154
Unyama,551,Other,31,1155
Paicho,165,climate,25,230
Paicho,165,Poor farming methods,6,232
Paicho,165,Lack of land,1,233
Paicho,165,Lack of capital,6,234
Paicho,165,Pests and Diseases,4,235
